cleaning,MAP@10,selected,decision
visible_5k,0.2373481481,False,Не использую: слишком сильно обрезаю текст
raw_html,0.2661239418,False,Не использую: служебные теги создают шум
visible_15k,0.2724387566,False,Не использую: теряю часть полезного текста
visible_full,0.2817310847,True,Использую основной текст без тегов
weighted_headings,0.2837650794,True,Использую заголовки как отдельное поле
stemmed_full,0.3187390212,True,Использую как дополнительное представление
